global_idx,run_id,sigma_0,eps_delta,e_s
110,2,-196.7392508711908,-0.0005,78695.70034847633
493,11,-1079.7865957673555,-0.0005,431914.6383069422
284,6,-636.155230803493,-0.0005,254462.0923213972
903,21,-416.118323484859,-0.0005,166447.3293939436
243,5,-853.3344225256658,-0.0005,341333.7690102663
579,14,-0.8078584809287921,-0.0005,323.1433923715168
1154,27,-525.9983382956655,-0.0005,210399.33531826615
445,10,-306.1779961340227,-0.0005,122471.19845360907
202,4,-971.5461607804344,-0.0005,388618.4643121738
991,23,-745.1301307113281,-0.0005,298052.05228453124
355,8,-98.5928221920908,-0.0005,39437.12887683632
825,19,-912.0329153024818,-0.0005,364813.1661209928
656,15,-471.0670154673977,-0.0005,188426.8061869591
29,0,-251.44469923742665,-0.0005,100577.87969497066
487,11,-361.6183461690872,-0.0005,144647.3384676349
1033,24,-799.531556422192,-0.0005,319812.62256887683
532,12,-579.7775300645012,-0.0005,231911.01202580048
244,5,-1024.001307030799,-0.0005,409600.5228123196
1115,26,-688.4543753145631,-0.0005,275381.75012582523
441,10,-147.6552836294477,-0.0005,59062.11345177908
270,6,-49.54794625739896,-0.0005,19819.178502959585
783,18,-943.2210905504852,-0.0005,377288.4362201941
74,1,-388.8630425456731,-0.0005,155545.21701826924
904,21,-499.3419881818308,-0.0005,199736.79527273236
1194,28,-279.5619104793498,-0.0005,111824.76419173992
1116,26,-826.1452503774757,-0.0005,330458.1001509903
71,1,-225.03648295467195,-0.0005,90014.59318186878
1195,28,-335.4742925752198,-0.0005,134189.71703008792
906,21,-719.0524629818364,-0.0005,287620.9851927345
367,8,-879.0635061417248,-0.0005,351625.4024566899
365,8,-610.4607681539756,-0.0005,244184.3072615902
282,6,-441.7744658357591,-0.0005,176709.78633430364
368,8,-1054.8762073700698,-0.0005,421950.4829480279
1031,24,-555.2302475154111,-0.0005,222092.0990061644
440,10,-123.0460696912064,-0.0005,49218.427876482565
59,1,-25.239339132691065,-0.0005,10095.735653076426
769,18,-73.46425155447147,-0.0005,29385.70062178859
983,23,-173.29345356862075,-0.0005,69317.3814274483
1032,24,-666.2762970184933,-0.0005,266510.51880739734
865,20,-779.8673370601559,-0.0005,311946.9348240624
161,3,-990.6704209237248,-0.0005,396268.1683694899
450,10,-761.8688313402114,-0.0005,304747.53253608453
700,16,-1007.9732596330036,-0.0005,403189.3038532015
992,23,-894.1561568535938,-0.0005,357662.4627414375
1028,24,-321.3138006454925,-0.0005,128525.520258197
117,2,-704.9523063280342,-0.0005,281980.92253121367
864,20,-649.88944755013,-0.0005,259955.779020052
863,20,-541.5745396251083,-0.0005,216629.8158500433
1149,27,-211.38693507895505,-0.0005,84554.77403158203
1196,28,-402.5691510902637,-0.0005,161027.6604361055
699,16,-839.9777163608363,-0.0005,335991.08654433454
696,16,-486.0982154865951,-0.0005,194439.2861946381
236,5,-238.1499762796412,-0.0005,95259.99051185648
779,18,-454.871282094177,-0.0005,181948.5128376708
241,5,-592.5933489761568,-0.0005,237037.3395904627
861,20,-376.0934302952141,-0.0005,150437.37211808562
404,9,-348.85274174744615,-0.0005,139541.09669897845
366,8,-732.5529217847707,-0.0005,293021.1687139083
1107,26,-160.11248425667011,-0.0005,64044.99370266805
884,21,-13.024863036954237,-0.0005,5209.945214781694
315,7,-110.88663217292704,-0.0005,44354.65286917082
273,6,-85.61885113278541,-0.0005,34247.54045311416
659,15,-814.0038027276632,-0.0005,325601.5210910653
1034,24,-959.4378677066304,-0.0005,383775.14708265214
1099,26,-37.23704654085324,-0.0005,14894.818616341296
689,16,-135.66109069533837,-0.0005,54264.43627813535
1027,24,-267.7615005379104,-0.0005,107104.60021516416
361,8,-294.39658958042804,-0.0005,117758.63583217122
768,18,-61.22020962872623,-0.0005,24488.083851490494
490,11,-624.8765021801827,-0.0005,249950.60087207303
574,13,-864.5699725760101,-0.0005,345827.989030404
1025,24,-185.94548648466,-0.0005,74378.19459386401
988,23,-431.2095663838704,-0.0005,172483.82655354816
658,15,-678.3365022730527,-0.0005,271334.6009092211
657,15,-565.2804185608773,-0.0005,226112.1674243509
364,8,-508.71730679497966,-0.0005,203486.92271799187
989,23,-517.4514796606445,-0.0005,206980.59186425785
1030,24,-462.69187292950926,-0.0005,185076.7491718037
572,13,-600.3958142888958,-0.0005,240158.32571555837
866,20,-935.8408044721872,-0.0005,374336.32178887486
533,12,-695.7330360774015,-0.0005,278293.2144309606
363,8,-423.9310889958164,-0.0005,169572.43559832656
860,20,-313.4111919126784,-0.0005,125364.47676507136
615,14,-572.6116060049357,-0.0005,229044.64240197427
119,2,-1015.1313211123692,-0.0005,406052.5284449477
1113,26,-478.0933161906688,-0.0005,191237.32647626757
359,8,-204.44207609751948,-0.0005,81776.83043900778
36,0,-900.971818569322,-0.0005,360388.7274277288
78,1,-806.3464050227078,-0.0005,322538.5620090831
859,20,-261.1759932605653,-0.0005,104470.39730422614
281,6,-368.1453881964659,-0.0005,147258.15527858635
944,22,-409.7850757088125,-0.0005,163914.030283525
858,20,-217.64666105047112,-0.0005,87058.66442018845
237,5,-285.7799715355695,-0.0005,114311.98861422778
314,7,-92.40552681077254,-0.0005,36962.21072430901
242,5,-711.1120187713882,-0.0005,284444.8075085553
782,18,-786.0175754587377,-0.0005,314407.0301834951
560,13,-67.33838607732756,-0.0005,26935.354430931024
360,8,-245.33049131702336,-0.0005,98132.19652680936
346,8,-19.107949460266248,-0.0005,7643.179784106499
1023,24,-129.1288100587917,-0.0005,51651.52402351667
898,21,-167.22862151365536,-0.0005,66891.44860546214
756,18,-6.866253917170817,-0.0005,2746.501566868327
943,22,-341.4875630906772,-0.0005,136595.02523627086
1017,24,-43.244977219834965,-0.0005,17297.990887933986
118,2,-845.9427675936411,-0.0005,338377.1070374564
935,22,-79.4190930142936,-0.0005,31767.63720571744
398,9,-116.83007737062428,-0.0005,46732.03094824971
854,20,-104.96077404054358,-0.0005,41984.30961621743
1182,28,-31.354728684559905,-0.0005,12541.89147382396
228,5,-55.3860730573148,-0.0005,22154.42922292592
654,15,-327.1298718523595,-0.0005,130851.9487409438
357,8,-141.97366395661075,-0.0005,56789.4655826443
35,0,-750.8098488077683,-0.0005,300323.9395231073
77,1,-671.9553375189232,-0.0005,268782.1350075693
945,22,-491.74209085057504,-0.0005,196696.83634023
1109,26,-230.56197732960496,-0.0005,92224.79093184198
322,7,-397.3268513786945,-0.0005,158930.74055147782
1200,28,-834.7673917007709,-0.0005,333906.9566803083
1024,24,-154.95457207055003,-0.0005,61981.82882822001
116,2,-587.4602552733618,-0.0005,234984.1021093447
318,7,-191.612100394818,-0.0005,76644.84015792719
781,18,-655.0146462156148,-0.0005,262005.8584862459
986,23,-299.4510877665767,-0.0005,119780.43510663068
1155,27,-631.1980059547985,-0.0005,252479.2023819194
653,15,-272.6082265436329,-0.0005,109043.29061745317
76,1,-559.9627812657693,-0.0005,223985.1125063077
857,20,-181.37221754205927,-0.0005,72548.8870168237
1239,29,-700.1878610005513,-0.0005,280075.1444002205
1156,27,-757.4376071457582,-0.0005,302975.0428583033
362,8,-353.27590749651364,-0.0005,141310.36299860544
408,9,-723.3810452875043,-0.0005,289352.4181150017
949,22,-1019.6763995877526,-0.0005,407870.559835101
780,18,-545.8455385130123,-0.0005,218338.21540520492
279,6,-255.65651958087903,-0.0005,102262.60783235164
283,6,-530.1293590029109,-0.0005,212051.74360116437
612,14,-331.37245717878227,-0.0005,132548.9828715129
286,6,-916.06353235703,-0.0005,366425.412942812
33,0,-521.395728338728,-0.0005,208558.2913354912
75,1,-466.6356510548077,-0.0005,186654.2604219231
990,23,-620.9417755927734,-0.0005,248376.71023710936
442,10,-177.18634035533722,-0.0005,70874.5361421349
741,17,-810.1734393817298,-0.0005,324069.37575269194
899,21,-200.67434581638645,-0.0005,80269.73832655458
568,13,-289.5427345143209,-0.0005,115817.09380572836
692,16,-234.4223647215447,-0.0005,93768.94588861788
1238,29,-583.4898841671261,-0.0005,233395.95366685043
655,15,-392.5558462228314,-0.0005,157022.33848913255
948,22,-849.7303329897939,-0.0005,339892.1331959176
862,20,-451.3121163542569,-0.0005,180524.84654170275
856,20,-151.14351461838274,-0.0005,60457.4058473531
409,9,-868.0572543450053,-0.0005,347222.9017380021
1153,27,-438.3319485797212,-0.0005,175332.77943188848
984,23,-207.9521442823449,-0.0005,83180.85771293796
611,14,-276.1437143156519,-0.0005,110457.48572626075
32,0,-434.4964402822733,-0.0005,173798.5761129093
1029,24,-385.57656077459103,-0.0005,154230.62430983642
109,2,-163.94937572599235,-0.0005,65579.75029039694
740,17,-675.1445328181082,-0.0005,270057.8131272433
567,13,-241.28561209526745,-0.0005,96514.24483810696
1157,27,-908.9251285749098,-0.0005,363570.0514299639
928,22,-22.16441130023179,-0.0005,8865.764520092716
146,3,-64.29993078985618,-0.0005,25719.972315942472
795,19,-3.8421395155364735,-0.0005,1536.8558062145898
758,18,-9.887405640725976,-0.0005,3954.962256290391
1145,27,-101.94200187063804,-0.0005,40776.80074825522
1197,28,-483.0829813083165,-0.0005,193233.19252332655
406,9,-502.3479481163224,-0.0005,200939.17924652895
947,22,-708.1086108248281,-0.0005,283243.4443299312
107,2,-113.85373314305023,-0.0005,45541.4932572201
778,18,-379.05940174514745,-0.0005,151623.760698059
17,0,-28.201196329793422,-0.0005,11280.47853191737
975,23,-40.30251873061609,-0.0005,16121.007492246436
358,8,-170.3683967479329,-0.0005,68147.35869917316
970,23,-16.19667837360793,-0.0005,6478.671349443172
227,5,-46.15506088109567,-0.0005,18462.024352438268
855,20,-125.95292884865228,-0.0005,50381.17153946092
807,19,-34.25690185673684,-0.0005,13702.760742694736
936,22,-95.30291161715232,-0.0005,38121.164646860925
1152,27,-365.2766238164343,-0.0005,146110.64952657372
186,4,-52.54888472317192,-0.0005,21019.553889268765
22,0,-70.17360085135158,-0.0005,28069.440340540637
477,11,-58.403381781700446,-0.0005,23361.35271268018
354,8,-82.16068516007567,-0.0005,32864.274064030265
73,1,-324.0525354547276,-0.0005,129621.01418189103
1021,24,-89.67278476304978,-0.0005,35869.113905219914
981,23,-120.34267608931997,-0.0005,48137.07043572798
739,17,-562.6204440150902,-0.0005,225048.1776060361
1022,24,-107.60734171565971,-0.0005,43042.93668626389
1236,29,-405.2013084493931,-0.0005,162080.52337975724
897,21,-139.3571845947128,-0.0005,55742.87383788512
646,15,-76.07995291324202,-0.0005,30431.98116529681
316,7,-133.06395860751246,-0.0005,53225.58344300499
526,12,-194.166321743352,-0.0005,77666.52869734081
405,9,-418.62329009693536,-0.0005,167449.31603877415
946,22,-590.0905090206901,-0.0005,236036.20360827603
112,2,-283.3045212545148,-0.0005,113321.8085018059
733,17,-188.42044833967304,-0.0005,75368.17933586921
777,18,-315.88283478762287,-0.0005,126353.13391504914
982,23,-144.41121130718395,-0.0005,57764.48452287358
407,9,-602.8175377395869,-0.0005,241127.0150958348
650,15,-157.7593903608987,-0.0005,63103.75614435948
30,0,-301.733639084912,-0.0005,120693.4556339648
72,1,-270.0437795456064,-0.0005,108017.51181824254
987,23,-359.341305319892,-0.0005,143736.5221279568
326,7,-823.8969590188609,-0.0005,329558.7836075444
738,17,-468.8503700125752,-0.0005,187540.1480050301
1235,29,-337.6677570411609,-0.0005,135067.10281646435
115,2,-489.5502127278015,-0.0005,195820.08509112065
823,19,-633.356191182279,-0.0005,253342.4764729116
652,15,-227.1735221196941,-0.0005,90869.40884787764
902,21,-346.7652695707158,-0.0005,138706.10782828633
240,5,-493.827790813464,-0.0005,197531.1163253856
776,18,-263.2356956563524,-0.0005,105294.27826254096
327,7,-988.6763508226333,-0.0005,395470.5403290533
1150,27,-253.66432209474607,-0.0005,101465.72883789842
985,23,-249.54257313881388,-0.0005,99817.02925552556
1026,24,-223.13458378159203,-0.0005,89253.8335126368
325,7,-686.5807991823841,-0.0005,274632.3196729536
853,20,-87.467311700453,-0.0005,34986.9246801812
737,17,-390.708641677146,-0.0005,156283.4566708584
824,19,-760.0274294187348,-0.0005,304010.9717674939
1234,29,-281.3897975343007,-0.0005,112555.9190137203
114,2,-407.9585106065013,-0.0005,163183.4042426005
451,10,-914.2425976082536,-0.0005,365697.0390433014
822,19,-527.7968259852324,-0.0005,211118.73039409297
1151,27,-304.39718651369526,-0.0005,121758.87460547812
239,5,-411.52315901122,-0.0005,164609.263604488
235,5,-198.45831356636768,-0.0005,79383.32542654708
731,17,-130.84753356921738,-0.0005,52339.01342768695
775,18,-219.36307971362697,-0.0005,87745.23188545079
907,21,-862.8629555782036,-0.0005,345145.1822312814
525,12,-161.80526811946,-0.0005,64722.107247784006
111,2,-236.087101045429,-0.0005,94434.8404181716
278,6,-213.04709965073252,-0.0005,85218.83986029302
980,23,-100.28556340776665,-0.0005,40114.225363106656
562,13,-96.9672759513517,-0.0005,38786.91038054068
28,0,-209.5372493645222,-0.0005,83814.89974580889
56,1,-14.60609903512214,-0.0005,5842.439614048856
938,22,-137.23619272869934,-0.0005,54894.47709147973
801,19,-11.47256711915966,-0.0005,4589.026847663865
736,17,-325.59053473095497,-0.0005,130236.213892382
1137,27,-23.7084515036282,-0.0005,9483.38060145128
113,2,-339.9654255054177,-0.0005,135986.1702021671
479,11,-84.10086976564864,-0.0005,33640.347906259456
285,6,-763.3862769641917,-0.0005,305354.51078567666
1008,24,-8.381166303537054,-0.0005,3352.4665214148213
1001,24,-2.339029697730311,-0.0005,935.6118790921244
821,19,-439.830688321027,-0.0005,175932.27532841082
64,1,-62.80355235065782,-0.0005,25121.420940263128
339,8,-5.332678010628503,-0.0005,2133.071204251401
356,8,-118.31138663050896,-0.0005,47324.55465220359
523,12,-112.3647695274028,-0.0005,44945.90781096112
224,5,-26.710104676559983,-0.0005,10684.041870623994
767,18,-51.01684135727186,-0.0005,20406.736542908744
1193,28,-232.96825873279155,-0.0005,93187.3034931166
104,2,-65.88757705037631,-0.0005,26355.030820150525
238,5,-342.93596584268334,-0.0005,137174.38633707337
1100,26,-44.68445584902389,-0.0005,17873.782339609555
234,5,-165.38192797197306,-0.0005,66152.77118878922
730,17,-109.03961130768116,-0.0005,43615.84452307246
774,18,-182.8025664280225,-0.0005,73121.02657120899
573,13,-720.474977146675,-0.0005,288189.99085867
638,15,-17.693765483738648,-0.0005,7077.506193495459
890,21,-38.89203263053676,-0.0005,15556.813052214704
1187,28,-78.0205984803641,-0.0005,31208.23939214564
762,18,-20.502524336609383,-0.0005,8201.009734643754
351,8,-47.54669280096972,-0.0005,19018.677120387885
561,13,-80.80606329279307,-0.0005,32322.425317117228
352,8,-57.05603136116366,-0.0005,22822.412544465464
1015,24,-30.031234180440947,-0.0005,12012.49367217638
27,0,-174.61437447043517,-0.0005,69845.74978817407
69,1,-156.27533538518884,-0.0005,62510.13415407554
323,7,-476.79222165443343,-0.0005,190716.88866177335
735,17,-271.32544560912913,-0.0005,108530.17824365164
449,10,-634.8906927835095,-0.0005,253956.2771134038
1020,24,-74.72732063587482,-0.0005,29890.92825434993
391,9,-32.60513043902899,-0.0005,13042.052175611596
820,19,-366.5255736008559,-0.0005,146610.22944034234
1232,29,-195.40958162104215,-0.0005,78163.83264841686
522,12,-93.63730793950232,-0.0005,37454.92317580093
401,9,-201.88237369643872,-0.0005,80752.9494785755
942,22,-284.5729692422309,-0.0005,113829.18769689238
1185,28,-54.18097116691951,-0.0005,21672.388466767807
1016,24,-36.037481016529135,-0.0005,14414.992406611656
729,17,-90.86634275640095,-0.0005,36346.53710256039
773,18,-152.33547202335205,-0.0005,60934.18880934082
905,21,-599.210385818197,-0.0005,239684.1543272788
272,6,-71.34904261065451,-0.0005,28539.6170442618
403,9,-290.7106181228718,-0.0005,116284.24724914871
492,11,-899.822163139463,-0.0005,359928.8652557852
353,8,-68.4672376333964,-0.0005,27386.89505335856
26,0,-145.51197872536264,-0.0005,58204.79149014506
1114,26,-573.7119794288026,-0.0005,229484.79177152104
1112,26,-398.41109682555737,-0.0005,159364.43873022296
734,17,-226.10453800760763,-0.0005,90441.81520304304
849,20,-42.18138102838204,-0.0005,16872.552411352815
271,6,-59.45753550887876,-0.0005,23783.014203551505
448,10,-529.0755773195913,-0.0005,211630.2309278365
1231,29,-162.84131801753514,-0.0005,65136.527207014056
1148,27,-176.15577923246255,-0.0005,70462.31169298502
400,9,-168.23531141369895,-0.0005,67294.12456547958
941,22,-237.1441410351925,-0.0005,94857.656414077
232,5,-114.84856109164797,-0.0005,45939.42443665918
772,18,-126.94622668612672,-0.0005,50778.49067445069
571,13,-500.3298452407465,-0.0005,200131.9380962986
402,9,-242.2588484357265,-0.0005,96903.5393742906
491,11,-749.8518026162192,-0.0005,299940.7210464877
604,14,-77.06664266443153,-0.0005,30826.65706577261
25,0,-121.25998227113551,-0.0005,48503.99290845421
434,10,-41.20787977805856,-0.0005,16483.151911223424
651,15,-189.3112684330784,-0.0005,75724.50737323138
70,1,-187.53040246222665,-0.0005,75012.16098489065
848,20,-35.151150856985026,-0.0005,14060.460342794013
476,11,-48.66948481808371,-0.0005,19467.793927233484
447,10,-440.8963144329927,-0.0005,176358.5257731971
818,19,-254.53164833392765,-0.0005,101812.65933357106
1147,27,-146.7964826937188,-0.0005,58718.59307748752
1190,28,-134.81959417406915,-0.0005,53927.83766962766
399,9,-140.19609284474913,-0.0005,56078.43713789965
940,22,-197.62011752932705,-0.0005,79048.04701173081
771,18,-105.78852223843892,-0.0005,42315.40889537557
570,13,-416.9415377006221,-0.0005,166776.61508024886
274,6,-102.7426213593425,-0.0005,41097.048543737
34,0,-625.6748740064736,-0.0005,250269.94960258945
618,14,-989.4728551765288,-0.0005,395789.1420706115
926,22,-15.39195229182763,-0.0005,6156.7809167310525
924,22,-10.688855758213633,-0.0005,4275.542303285453
263,6,-13.827922458559437,-0.0005,5531.168983423774
347,8,-22.929539352319495,-0.0005,9171.8157409278
24,0,-101.04998522594629,-0.0005,40419.99409037851
101,2,-38.12938486711592,-0.0005,15251.753946846367
718,17,-12.229518043284203,-0.0005,4891.8072173136825
831,20,-1.5843764033359031,-0.0005,633.7505613343612
672,16,-6.114685457184533,-0.0005,2445.874182873813
336,8,-3.086040515410013,-0.0005,1234.4162061640052
844,20,-16.951750991987378,-0.0005,6780.700396794951
732,17,-157.01704028306085,-0.0005,62806.81611322434
819,19,-305.4379780007132,-0.0005,122175.19120028528
847,20,-29.29262571415419,-0.0005,11717.050285661677
1128,27,-4.594856735410933,-0.0005,1837.9426941643733
446,10,-367.4135953608272,-0.0005,146965.4381443309
639,15,-21.232518580486374,-0.0005,8493.00743219455
559,13,-56.1153217311063,-0.0005,22446.12869244252
520,12,-65.02590829132106,-0.0005,26010.363316528423
817,19,-212.1097069449397,-0.0005,84843.88277797587
683,16,-45.432624788122894,-0.0005,18173.04991524916
1229,29,-113.08424862328827,-0.0005,45233.69944931532
384,9,-9.09949351119234,-0.0005,3639.797404476936
383,9,-7.58291125932695,-0.0005,3033.1645037307803
1146,27,-122.33040224476566,-0.0005,48932.160897906266
311,7,-53.47542060808596,-0.0005,21390.168243234384
846,20,-24.410521428461823,-0.0005,9764.20857138473
896,21,-116.13098716226068,-0.0005,46452.39486490427
939,22,-164.68343127443922,-0.0005,65873.37250977568
97,2,-18.388013535453275,-0.0005,7355.2054141813105
770,18,-88.15710186536577,-0.0005,35262.84074614631
569,13,-347.4512814171851,-0.0005,138980.51256687404
348,8,-27.5154472227834,-0.0005,11006.17888911336
350,8,-39.622244000808095,-0.0005,15848.897600323238
804,19,-19.82459598190789,-0.0005,7929.838392763158
974,23,-33.58543227551341,-0.0005,13434.172910205363
1144,27,-84.9516682255317,-0.0005,33980.66729021268
489,11,-520.7304184834856,-0.0005,208292.16739339425
617,14,-824.5607126471073,-0.0005,329824.2850588429
742,17,-972.2081272580758,-0.0005,388883.2509032304
643,15,-44.02775052849655,-0.0005,17611.100211398618
1018,24,-51.89397266380196,-0.0005,20757.589065520784
65,1,-75.36426282078938,-0.0005,30145.705128315756
1111,26,-332.0092473546312,-0.0005,132803.69894185246
319,7,-229.9345204737816,-0.0005,91973.80818951262
1097,26,-25.859060097814755,-0.0005,10343.624039125902
649,15,-131.46615863408223,-0.0005,52586.463453632896
68,1,-130.22944615432402,-0.0005,52091.77846172961
108,2,-136.6244797716603,-0.0005,54649.79190866412
280,6,-306.7878234970549,-0.0005,122715.12939882195
558,13,-46.76276810925525,-0.0005,18705.1072437021
1228,29,-94.23687385274025,-0.0005,37694.7495410961
645,15,-63.39996076103502,-0.0005,25359.984304414007
160,3,-825.5586841031039,-0.0005,330223.47364124155
233,5,-137.81827330997754,-0.0005,55127.309323991016
229,5,-66.46328766877775,-0.0005,26585.315067511103
852,20,-72.88942641704416,-0.0005,29155.770566817664
901,21,-288.9710579755965,-0.0005,115588.4231902386
37,0,-900.971818569322,0.0005,900971.818569322
38,0,-450.4859092846609,0.0005,450485.90928466094
39,0,-225.2429546423305,0.0005,225242.95464233047
40,0,-112.62147732116524,0.0005,112621.47732116524
79,1,-806.3464050227078,0.0005,806346.4050227078
80,1,-403.1732025113539,0.0005,403173.2025113539
81,1,-201.58660125567692,0.0005,201586.6012556769
120,2,-1015.1313211123692,0.0005,1015131.3211123692
121,2,-507.5656605561846,0.0005,507565.6605561846
122,2,-253.78283027809223,0.0005,253782.83027809227
123,2,-126.89141513904612,0.0005,126891.41513904612
162,3,-990.6704209237248,0.0005,990670.4209237248
163,3,-495.3352104618624,0.0005,495335.2104618623
164,3,-247.6676052309312,0.0005,247667.6052309312
165,3,-123.8338026154656,0.0005,123833.80261546558
203,4,-971.5461607804344,0.0005,971546.1607804344
204,4,-485.7730803902172,0.0005,485773.0803902172
205,4,-242.8865401951086,0.0005,242886.5401951086
206,4,-121.4432700975543,0.0005,121443.2700975543
245,5,-1024.001307030799,0.0005,1024001.3070307988
246,5,-512.0006535153994,0.0005,512000.6535153994
247,5,-256.0003267576997,0.0005,256000.3267576997
248,5,-128.00016337884986,0.0005,128000.16337884986
287,6,-916.06353235703,0.0005,916063.53235703
288,6,-458.031766178515,0.0005,458031.766178515
289,6,-229.0158830892575,0.0005,229015.8830892575
290,6,-114.50794154462876,0.0005,114507.94154462876
328,7,-988.6763508226333,0.0005,988676.3508226332
329,7,-494.33817541131657,0.0005,494338.17541131657
330,7,-247.16908770565828,0.0005,247169.08770565828
331,7,-123.58454385282914,0.0005,123584.54385282914
369,8,-1054.8762073700698,0.0005,1054876.2073700698
370,8,-527.4381036850349,0.0005,527438.1036850349
371,8,-263.71905184251744,0.0005,263719.05184251745
372,8,-131.85952592125872,0.0005,131859.52592125873
410,9,-868.0572543450053,0.0005,868057.2543450053
411,9,-434.0286271725026,0.0005,434028.6271725026
412,9,-217.0143135862513,0.0005,217014.3135862513
413,9,-108.50715679312566,0.0005,108507.15679312566
452,10,-914.2425976082536,0.0005,914242.5976082536
453,10,-457.1212988041268,0.0005,457121.2988041268
454,10,-228.5606494020634,0.0005,228560.6494020634
455,10,-114.2803247010317,0.0005,114280.3247010317
494,11,-1079.7865957673555,0.0005,1079786.5957673555
495,11,-539.8932978836777,0.0005,539893.2978836778
496,11,-269.9466489418389,0.0005,269946.6489418389
497,11,-134.97332447091944,0.0005,134973.32447091944
535,12,-834.8796432928818,0.0005,834879.6432928818
536,12,-417.43982164644086,0.0005,417439.8216464409
537,12,-208.7199108232204,0.0005,208719.9108232204
538,12,-104.3599554116102,0.0005,104359.9554116102
575,13,-864.5699725760101,0.0005,864569.97257601
576,13,-432.284986288005,0.0005,432284.986288005
577,13,-216.1424931440025,0.0005,216142.4931440025
578,13,-108.07124657200126,0.0005,108071.24657200126
619,14,-989.4728551765288,0.0005,989472.8551765288
620,14,-494.7364275882643,0.0005,494736.4275882643
621,14,-247.36821379413212,0.0005,247368.2137941321
622,14,-123.68410689706609,0.0005,123684.10689706609
660,15,-814.0038027276632,0.0005,814003.8027276632
661,15,-407.0019013638316,0.0005,407001.9013638316
662,15,-203.5009506819158,0.0005,203500.9506819158
701,16,-1007.9732596330036,0.0005,1007973.2596330036
702,16,-503.98662981650176,0.0005,503986.62981650175
703,16,-251.99331490825085,0.0005,251993.31490825085
704,16,-125.99665745412544,0.0005,125996.65745412542
743,17,-972.2081272580758,0.0005,972208.127258076
744,17,-486.1040636290379,0.0005,486104.06362903793
745,17,-243.05203181451893,0.0005,243052.03181451897
746,17,-121.52601590725948,0.0005,121526.01590725948
784,18,-943.2210905504852,0.0005,943221.0905504852
785,18,-471.61054527524266,0.0005,471610.54527524265
786,18,-235.80527263762133,0.0005,235805.27263762127
787,18,-117.90263631881066,0.0005,117902.63631881066
826,19,-912.0329153024818,0.0005,912032.915302482
827,19,-456.0164576512409,0.0005,456016.4576512409
828,19,-228.00822882562045,0.0005,228008.2288256205
829,19,-114.00411441281022,0.0005,114004.11441281025
867,20,-935.8408044721872,0.0005,935840.8044721872
868,20,-467.9204022360936,0.0005,467920.4022360936
869,20,-233.9602011180468,0.0005,233960.2011180468
870,20,-116.9801005590234,0.0005,116980.1005590234
908,21,-862.8629555782036,0.0005,862862.9555782035
909,21,-431.4314777891018,0.0005,431431.4777891018
910,21,-215.7157388945509,0.0005,215715.7388945509
950,22,-1019.6763995877526,0.0005,1019676.3995877526
951,22,-509.8381997938763,0.0005,509838.1997938763
952,22,-254.91909989693812,0.0005,254919.09989693816
953,22,-127.45954994846907,0.0005,127459.54994846908
993,23,-894.1561568535938,0.0005,894156.1568535938
994,23,-447.0780784267969,0.0005,447078.0784267969
995,23,-223.53903921339844,0.0005,223539.03921339844
996,23,-111.76951960669922,0.0005,111769.51960669922
1035,24,-959.4378677066304,0.0005,959437.8677066304
1036,24,-479.7189338533152,0.0005,479718.9338533152
1037,24,-239.8594669266576,0.0005,239859.4669266576
1038,24,-119.9297334633288,0.0005,119929.7334633288
1076,25,-971.836404221277,0.0005,971836.404221277
1077,25,-485.9182021106385,0.0005,485918.2021106385
1078,25,-242.95910105531925,0.0005,242959.10105531925
1079,25,-121.47955052765964,0.0005,121479.55052765962
1117,26,-826.1452503774757,0.0005,826145.2503774756
1118,26,-413.0726251887378,0.0005,413072.6251887378
1119,26,-206.5363125943689,0.0005,206536.3125943689
1120,26,-103.26815629718443,0.0005,103268.15629718444
1158,27,-908.9251285749098,0.0005,908925.1285749098
1159,27,-454.4625642874548,0.0005,454462.5642874548
1160,27,-227.2312821437274,0.0005,227231.2821437274
1161,27,-113.6156410718637,0.0005,113615.6410718637
1201,28,-834.7673917007709,0.0005,834767.3917007708
1202,28,-417.38369585038544,0.0005,417383.6958503854
1203,28,-208.69184792519272,0.0005,208691.8479251927
1242,29,-1008.270519840794,0.0005,1008270.519840794
1243,29,-504.13525992039695,0.0005,504135.25992039696
1244,29,-252.06762996019847,0.0005,252067.62996019848
1245,29,-126.03381498009924,0.0005,126033.81498009924
